维度	分值	状态定义	评分细则	实战案例/画像
3. 新科技革命发展方向	5	中立/经典防守	传统物理世界业务，与新科技无关；不受颠覆也不享受溢价。	经典医药生物、食品饮料龙头
3. 新科技革命发展方向	4	蹭概念/PPT研发	强行嵌套新科技概念；研发投入大但商业化遥遥无期，靠画饼。	调用海外 API 游戏小厂、无适航证飞行汽车
3. 新科技革命发展方向	3	初级被替代	份额和利润正在被先进生产力肉眼可见地蚕食。	低端外包翻译、陷入内卷落后正极厂
3. 新科技革命发展方向	2	降维打击/淘汰	商业模式被彻底颠覆；或重金押注技术路线错误，产能化为乌有。	传统商业图库、无订单的落后电池片产能
3. 新科技革命发展方向	1	制裁与废铁	被卡脖子断供；或落后厂房沦为废铁，计提数十亿减值。	失去算力芯片的模型公司、破产新能源明星
3. 新科技革命发展方向	0	科技暴雷	发生恶劣安全事故；滥用新技术导致严重合规问题。	被强制下架、吊销资质的企业
4. 中国国家战略与政策	9	举国体制	关乎生死存亡自主可控痛点；顶格政策支持、大基金无上限支持。	半导体先进制程设备、工业母机核心
4. 中国国家战略与政策	8	真金白银	十五五规划核心排头兵；明确财政资金或设备更新补贴直接打入。	受益设备更新工业机械、低空经济基建
4. 中国国家战略与政策	7	特许护城河	拥有国家特许经营牌照或配额，利润被政策锁定。	配额氟化工龙头、免税牌照、血制品寡头
4. 中国国家战略与政策	6	政策暖风	属于政策口头鼓励或降息降准间接受益者，资金传导有时滞。	受益家电下乡白电龙头、化债地方环保平台
4. 中国国家战略与政策	5	市场中立	纯市场化竞争，不受发改委/工信部特殊照顾。	普通快消品、商业百货、餐饮旅游
4. 中国国家战略与政策	4	让利实体	需降低社会成本的行业，利润上限被国家严格锁定。	面临集采降价部分医药器械、金融通道业务
4. 中国国家战略与政策	3	房住不炒/去杠杆	曾经蓄水池当前被要求去杠杆，难以获得新增低息贷款。	高杠杆民营房企及其上游建材商
4. 中国国家战略与政策	2	强监管区	触碰民生底线或处于防范无序扩张名单。	劣质游戏公司、合规差的互联网医疗
4. 中国国家战略与政策	1	事实抛弃	行业被列为限制类或淘汰类，不再审批新项目。	高污染高耗能且无法改造落后化工产能
4. 中国国家战略与政策	0	触碰红线	严重危害国家安全、特大贪腐或金融诈骗。	负责人被抓、面临退市黑天鹅公司
5. 当前国际格局	9	乱世硬通货	发战争财/地缘危机绝对受益者；供给中断躺赚暴利。	航运寡头、黄金/铜/原油巨头
5. 当前国际格局	8	完美避险	产能已高度全球化，完美规避极右翼政府关税壁垒。	墨西哥建厂绑定北美大客户的汽车零部件龙头
5. 当前国际格局	7	军工与安全	备战备荒逻辑；不仅免疫制裁反而获得海量国防预算倾斜。	军工信息化龙头、航空航天部件制造商
5. 当前国际格局	6	南方增量	避开欧美，将一带一路作为出海基本盘取得爆发增长。	中东基建央企、出海拉美跨境电商
5. 当前国际格局	5	内盘免疫	纯内需底盘，上游原材料在国内，大门一关自己也能活得滋润。	地方高速公路、国内水电站、中药龙头
5. 当前国际格局	4	输入性通胀受害者	依赖进口原材料成本暴涨，下游内需疲软无法转嫁。	原油暴涨时传统炼化企业、小商品加工厂
5. 当前国际格局	3	贸易战靶标	遭到极高关税定点狙击，出口利润被瞬间抹平。	严重依赖欧美且未海外建厂国内整车厂
5. 当前国际格局	2	卡脖子窒息	核心部件/软件依赖进口，面临出口管制停工风险。	依赖海外特定测试设备非核心科技公司
5. 当前国际格局	1	实体清单	被列入实体清单遭到全球次级制裁，美元结算切断。	被定点制裁敏感科技硬件企业
5. 当前国际格局	0	资产毁灭	因战争或长臂管辖导致海外重资产被没收或炸毁。	交战区拥有沉没资产跨国企业
6. 技术面与当前筹码	9	右侧底部与干净筹码	底部温和放量突破；无任何减持计划且解禁已消化；筹码高度集中。	错杀周期底部白马、筹码断层反转股
6. 技术面与当前筹码	8	主升浪与机构抱团	均线完美多头排列；机构持仓稳步上升；没有悬在头上的解禁大山。	走独立行情的强趋势核心资产
6. 技术面与当前筹码	7	强势突破	数月震荡后放量大阳线突破；筹码结构干净，前期套牢盘已洗清。	刚刚确认逻辑，游资与机构合力突破股
6. 技术面与当前筹码	6	高位拥挤与分歧	上涨趋势中但换手率极高；筹码发散，散户疯狂涌入，机构开始派发。	连续大涨热门赛道龙头（博傻阶段）
6. 技术面与当前筹码	5	僵尸盘整	流动性极度枯竭，均线缠绕；无解禁但也无资金关注，筹码沉淀不动。	缺乏催化剂的冷门股，买入时间成本极高
6. 技术面与当前筹码	4	悬顶之剑	高位滞涨；盘面存在当前正在执行的减持计划，或未来半年有巨量解禁。	解禁临近的次新股、大股东正逢高派发
6. 技术面与当前筹码	3	阴跌与派发	均线空头排列；伴随内部股东绵绵不断的减持出货；上方筹码层层套牢。	衰退周期白马股，散户抄底主力派发
6. 技术面与当前筹码	2	巨量砸盘预警	放量跌破长期支撑；面临VC/PE清仓式解禁抛售，不计成本砸盘出局。	面临创投基金大规模撤退的伪科技股
6. 技术面与当前筹码	1	死亡螺旋	连续无量跌停；引发融资盘平仓或质押盘爆仓的死亡螺旋。	遭遇致命利空或造假实锤的庄股崩盘
6. 技术面与当前筹码	0	退市边缘	面临面值退市；流动性彻底丧失，筹码毫无交易价值。	进入退市整理期或即将停牌垃圾股
